timestamp,machine_age,operator_experience,shift,material_type,workload,maintenance_score,cooling_efficiency,temperature,vibration,pressure,humidity,power_usage,error_count,noise_level,random_sensor_1,random_sensor_2,defect_status,failure_severity,downtime_minutes
2024-01-01 00:00:00,9.99,3.73,Day,B,62.81,6.74,54.73,62.37,54.98,69.41,73.73,331.32,5,51.41,-0.409,-0.945,0,No Defect,82.81
2024-01-01 01:00:00,7.45,3.64,Day,B,54.58,,57.74,53.14,50.1,61.71,73.88,290.78,3,43.32,1.061,4.731,0,No Defect,55.06
2024-01-01 02:00:00,10.59,0.0,Day,A,77.53,,52.18,75.22,56.88,79.56,51.98,398.89,1,53.72,0.223,4.731,0,No Defect,58.74
2024-01-01 03:00:00,14.09,4.01,Day,B,44.4,3.48,49.64,53.84,58.2,66.22,62.35,257.91,7,47.12,1.126,2.13,0,No Defect,136.87
2024-01-01 04:00:00,7.06,7.2,Day,B,65.98,9.63,49.82,75.12,47.42,70.61,68.81,339.56,5,54.24,-0.061,-2.635,0,No Defect,60.08
2024-01-01 05:00:00,7.06,1.18,Day,A,31.7,7.86,72.37,38.95,41.36,53.52,48.3,217.4,1,31.85,-0.568,3.539,0,No Defect,39.1
2024-01-01 06:00:00,14.32,8.15,Day,B,49.95,6.2,49.01,65.36,65.79,71.26,35.41,292.94,4,55.03,-0.576,-4.893,0,No Defect,93.3
2024-01-01 07:00:00,11.07,6.46,Night,B,56.84,7.24,51.92,66.43,63.56,66.02,65.34,331.6,6,41.96,0.777,0.147,0,No Defect,98.57
2024-01-01 08:00:00,6.12,2.8,Day,B,86.45,4.53,47.42,68.61,53.18,74.36,68.45,393.44,1,39.4,-0.408,3.77,0,No Defect,50.43
2024-01-01 09:00:00,10.17,4.58,Night,A,80.32,6.42,44.27,71.82,65.24,77.65,66.24,402.04,7,57.16,1.775,-0.813,0,No Defect,121.78
2024-01-01 10:00:00,6.15,9.79,Night,B,61.69,7.46,66.2,51.57,37.9,63.76,49.39,303.96,3,33.02,0.681,-2.548,0,No Defect,53.7
2024-01-01 11:00:00,6.14,7.2,Day,A,80.94,6.15,60.78,60.05,51.7,71.45,77.85,387.4,1,46.11,-0.332,1.261,0,No Defect,57.28
2024-01-01 12:00:00,8.97,5.03,Night,B,83.31,7.55,56.36,70.25,53.99,75.59,59.26,375.23,8,50.73,1.635,3.183,0,No Defect,108.34
2024-01-01 13:00:00,1.0,4.29,Night,B,67.59,10.0,70.29,48.5,29.06,70.13,37.79,336.4,1,29.32,-0.129,1.693,0,No Defect,0.0
2024-01-01 14:00:00,1.1,5.23,Day,B,49.23,5.61,73.45,38.08,30.74,64.5,31.06,261.28,1,28.84,-1.89,-2.473,0,No Defect,35.52
2024-01-01 15:00:00,5.75,3.46,Day,A,66.88,,50.8,99.89,83.15,74.04,50.54,349.57,2,47.64,-0.353,-3.746,0,No Defect,64.57
2024-01-01 16:00:00,3.95,0.0,Day,B,68.53,6.75,59.15,58.09,45.53,71.61,58.37,304.43,2,35.6,-1.32,-2.262,0,No Defect,23.06
2024-01-01 17:00:00,9.26,11.13,Night,C,51.51,6.87,68.87,48.88,50.87,63.73,50.68,275.69,0,45.09,0.351,-3.565,0,No Defect,40.86
2024-01-01 18:00:00,4.37,5.47,Day,A,75.51,7.98,54.84,59.52,39.31,75.0,84.9,377.71,2,31.1,-0.769,4.585,0,No Defect,36.14
2024-01-01 19:00:00,2.35,6.19,Day,C,74.2,8.27,68.08,57.79,38.12,62.94,61.06,351.81,2,40.97,0.862,-1.32,0,No Defect,37.33
2024-01-01 20:00:00,13.86,4.83,Day,B,76.68,6.18,42.64,76.47,68.38,78.41,40.4,357.93,5,61.97,-0.296,4.675,0,No Defect,117.63
2024-01-01 21:00:00,7.1,2.79,Day,B,74.18,9.97,40.0,62.7,54.18,76.46,20.94,350.1,4,46.36,2.794,0.764,1,Minor,69.62
2024-01-01 22:00:00,8.27,4.44,Day,A,80.95,10.0,52.47,68.14,51.23,74.17,58.53,389.89,8,39.87,0.362,1.905,0,No Defect,95.86
2024-01-01 23:00:00,2.3,0.2,Night,A,67.31,8.09,69.32,52.47,41.36,65.58,69.83,319.07,1,39.5,0.502,4.098,0,No Defect,13.63
2024-01-02 00:00:00,5.82,11.83,Day,C,73.03,5.23,55.46,64.94,42.78,70.32,82.96,377.91,2,39.69,0.605,4.936,1,Minor,72.38
2024-01-02 01:00:00,8.44,1.3,Night,A,64.03,7.88,61.09,55.65,54.5,67.08,51.96,343.15,4,50.53,0.293,4.491,0,No Defect,89.61
2024-01-02 02:00:00,3.4,1.9,Night,A,61.23,10.0,55.14,50.61,30.11,66.45,80.83,323.83,3,24.84,1.27,-0.525,0,No Defect,41.07
2024-01-02 03:00:00,9.5,3.68,Day,B,90.07,7.89,37.29,74.83,63.26,83.46,34.62,430.45,5,48.29,0.348,1.927,0,No Defect,106.15
2024-01-02 04:00:00,5.6,8.86,Day,A,39.34,10.0,68.86,39.62,28.57,59.3,49.84,238.18,2,28.49,0.346,-1.116,0,No Defect,15.05
2024-01-02 05:00:00,6.83,5.04,Night,B,83.15,7.27,53.03,68.98,54.79,77.45,39.78,412.96,6,51.68,0.404,1.303,1,Minor,95.92
2024-01-02 06:00:00,5.59,1.29,Night,B,60.69,7.13,67.15,54.61,37.57,68.76,66.88,333.4,3,30.53,1.2,0.222,0,No Defect,56.97
2024-01-02 07:00:00,15.41,8.76,Day,C,58.75,4.78,49.52,71.75,75.45,76.22,35.48,331.04,7,72.1,-0.482,-4.814,0,No Defect,119.14
2024-01-02 08:00:00,7.95,7.19,Day,B,73.92,6.72,46.24,65.88,56.76,70.42,61.03,339.46,4,54.32,-2.115,3.659,0,No Defect,83.27
2024-01-02 09:00:00,3.77,6.62,Day,A,47.66,9.68,68.73,38.16,26.09,53.36,36.37,229.44,3,29.95,0.322,-1.435,0,No Defect,20.58
2024-01-02 10:00:00,11.29,7.15,Night,A,57.76,7.5,55.85,63.25,59.59,70.36,81.37,335.15,0,56.35,0.643,-0.509,0,No Defect,57.85
2024-01-02 11:00:00,3.12,12.18,Night,B,57.26,10.0,55.91,51.17,38.93,68.66,49.39,280.39,3,35.19,-0.988,-1.552,0,No Defect,44.47
2024-01-02 12:00:00,8.84,11.56,Day,A,66.68,7.67,53.19,62.55,47.19,63.12,60.67,327.94,5,47.5,-1.078,-0.168,0,No Defect,77.43
2024-01-02 13:00:00,1.0,2.94,Night,C,57.94,10.0,66.54,40.5,19.88,61.63,28.17,300.6,0,20.0,-0.892,-0.036,0,No Defect,3.07
2024-01-02 14:00:00,2.69,9.87,Day,B,94.02,10.0,49.79,67.3,36.13,79.94,32.58,396.31,1,35.97,-1.513,1.324,0,No Defect,27.54
2024-01-02 15:00:00,8.79,6.15,Night,A,96.96,3.98,45.38,73.06,53.49,79.32,43.4,466.57,3,40.76,0.57,-1.243,0,No Defect,67.7
2024-01-02 16:00:00,10.95,6.5,Day,C,39.67,6.48,53.94,54.44,47.02,67.39,67.76,268.06,3,45.19,1.164,-2.719,0,No Defect,51.79
2024-01-02 17:00:00,8.69,0.0,Day,A,78.16,7.04,51.7,65.95,58.31,80.45,64.89,396.73,4,52.09,-1.038,-1.031,0,No Defect,66.87
2024-01-02 18:00:00,7.54,4.49,Day,A,82.88,7.68,52.48,66.14,54.05,74.94,71.28,402.21,2,52.24,0.515,-1.785,0,No Defect,75.38
2024-01-02 19:00:00,6.8,2.56,Day,B,78.14,7.49,57.87,57.7,37.36,69.44,32.35,326.54,4,34.33,0.207,0.682,0,No Defect,46.67
2024-01-02 20:00:00,2.09,7.48,Day,C,60.13,9.92,60.21,,31.07,62.86,62.6,325.83,0,28.79,-0.585,2.264,0,No Defect,1.45
2024-01-02 21:00:00,5.12,8.21,Day,B,66.34,7.35,51.57,57.07,36.82,67.81,46.6,334.09,4,32.52,1.105,2.169,0,No Defect,55.6
2024-01-02 22:00:00,6.16,0.0,Day,A,58.78,9.54,61.59,53.79,45.61,62.06,,310.55,3,33.69,2.421,3.916,0,No Defect,39.1
2024-01-02 23:00:00,12.23,4.93,Day,A,63.7,6.43,47.93,63.41,56.97,65.07,46.94,334.95,2,52.23,-1.289,-2.946,0,No Defect,69.22
2024-01-03 00:00:00,9.37,8.37,Day,A,51.85,6.94,72.3,44.9,36.74,53.82,53.25,299.33,4,34.96,0.187,0.033,0,No Defect,43.41
2024-01-03 01:00:00,1.0,4.44,Night,A,68.28,8.6,66.9,48.07,30.67,66.53,64.92,353.07,5,27.16,-0.039,1.243,0,No Defect,57.36
2024-01-03 02:00:00,9.3,7.19,Night,A,47.46,7.97,59.74,51.09,49.73,72.34,71.84,262.07,1,47.88,0.091,0.155,0,No Defect,53.84
2024-01-03 03:00:00,6.46,6.05,Day,B,67.0,8.05,56.0,60.07,41.26,60.39,62.82,340.74,5,35.63,-0.29,1.407,0,No Defect,81.74
2024-01-03 04:00:00,5.29,6.02,Day,C,51.27,7.01,58.03,48.5,37.54,62.15,64.5,307.4,2,29.28,0.642,3.573,0,No Defect,36.88
2024-01-03 05:00:00,10.45,4.19,Day,A,73.1,6.26,51.56,64.67,52.24,71.52,82.35,357.25,4,45.71,0.172,-4.08,0,No Defect,77.54
2024-01-03 06:00:00,12.12,1.35,Night,A,59.81,6.7,50.49,57.83,62.27,69.79,65.46,321.96,2,60.72,-1.368,-1.272,0,No Defect,77.64
2024-01-03 07:00:00,11.73,1.64,Night,C,74.36,6.72,46.0,71.23,59.86,79.31,51.79,374.63,1,50.85,-0.046,0.054,0,No Defect,59.74
2024-01-03 08:00:00,4.64,7.13,Day,B,86.22,9.11,53.33,62.85,39.8,70.27,63.72,422.71,2,39.01,0.3,0.232,0,No Defect,28.0
2024-01-03 09:00:00,6.76,5.06,Night,C,93.84,7.77,48.12,78.6,55.78,71.52,80.61,440.15,2,51.23,1.288,-4.878,0,No Defect,36.69
2024-01-03 10:00:00,9.33,4.58,Night,A,32.08,8.27,56.09,47.2,43.56,56.2,41.94,267.9,4,38.0,-0.394,0.77,0,No Defect,84.35
2024-01-03 11:00:00,11.9,3.73,Night,A,57.49,7.69,56.21,63.35,61.16,66.81,48.54,345.89,9,59.15,0.17,1.959,0,No Defect,118.18
2024-01-03 12:00:00,6.08,4.08,Day,B,65.45,8.98,53.73,57.33,49.41,60.59,76.75,329.02,3,43.12,-0.869,-1.104,0,No Defect,52.43
2024-01-03 13:00:00,7.26,8.14,Day,B,76.9,6.58,51.51,66.24,57.7,75.59,50.64,376.27,1,53.53,1.412,4.133,0,No Defect,49.76
2024-01-03 14:00:00,3.57,3.99,Day,A,45.24,7.16,75.23,37.28,28.15,54.46,66.46,288.63,1,31.62,0.122,1.804,0,No Defect,19.7
2024-01-03 15:00:00,3.22,0.98,Day,B,55.27,8.06,74.73,40.33,31.84,62.62,74.34,269.45,1,37.12,1.67,1.303,0,No Defect,12.84
2024-01-03 16:00:00,11.25,7.23,Day,A,71.96,8.99,39.44,71.08,66.94,73.52,36.16,376.6,4,56.83,-0.178,-2.948,0,No Defect,82.46
2024-01-03 17:00:00,13.42,4.39,Day,A,71.27,5.72,45.07,74.2,74.89,72.06,,378.79,4,70.97,-0.143,4.811,1,Minor,125.53
2024-01-03 18:00:00,7.71,5.09,Day,B,75.66,10.0,53.31,57.19,41.1,74.48,73.07,353.64,2,43.75,0.212,-0.349,0,No Defect,46.66
2024-01-03 19:00:00,12.01,9.82,Day,A,76.66,5.61,37.61,72.51,,75.25,53.1,372.95,3,68.11,0.572,-4.649,0,No Defect,77.28
2024-01-03 20:00:00,9.45,4.94,Day,B,75.08,6.31,53.57,74.1,61.76,75.09,24.72,372.97,3,54.34,1.59,-4.259,0,No Defect,73.37
2024-01-03 21:00:00,5.42,5.87,Day,A,72.9,7.99,56.94,61.99,49.79,74.17,47.35,367.19,3,41.77,1.478,-1.64,0,No Defect,43.39
2024-01-03 22:00:00,9.45,1.46,Night,A,70.84,6.56,52.01,71.36,64.31,75.27,66.92,384.82,5,60.39,-0.78,-4.587,0,No Defect,80.6
2024-01-03 23:00:00,14.15,4.34,Night,A,79.97,3.89,36.19,76.39,65.74,77.72,74.15,402.68,7,61.62,-0.274,-3.315,0,No Defect,139.82
2024-01-04 00:00:00,7.86,6.83,Day,A,36.41,5.53,67.54,42.1,37.87,55.2,55.76,222.68,3,28.66,-2.468,1.779,0,No Defect,56.52
2024-01-04 01:00:00,14.26,0.33,Day,A,93.17,5.76,40.2,87.85,80.1,79.52,62.26,460.92,5,75.18,-1.069,-1.574,1,Moderate,133.55
2024-01-04 02:00:00,1.0,5.6,Day,B,36.93,10.0,76.21,36.26,23.67,56.45,49.46,253.74,2,25.55,0.004,-0.881,0,No Defect,3.1
2024-01-04 03:00:00,11.29,5.3,Day,C,53.81,9.72,51.66,59.47,42.11,60.72,68.55,302.21,1,39.7,1.908,4.527,0,No Defect,51.22
2024-01-04 04:00:00,8.35,5.12,Night,A,66.6,6.43,51.99,56.94,40.67,71.29,76.38,325.01,1,37.71,-1.519,1.456,0,No Defect,43.19
2024-01-04 05:00:00,6.8,8.11,Day,A,80.09,7.09,52.86,70.62,55.91,74.69,66.52,371.34,2,46.93,1.238,-2.082,0,No Defect,57.65
